i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
22	1855.57803331	749.702189543	0.0	1853.95295658	754.738202139	-23.1980315973	-1.6250767356615654	5.03601259610096	-23.198031597250576
23	1847.44917193	784.19564771	0.0	1780.91592206	753.588541469	-19.4493103485	-66.53324986770357	-30.60710624132274	-19.449310348549204
24	1838.92972605	818.744264306	0.0	1759.30880762	723.762456883	-70.7783317522	-79.62091843292826	-94.98180742282443	-70.77833175217236
25	1830.01575283	853.350360087	0.0	1781.34929465	896.213947896	38.7066886547	-48.66645817586828	42.86358780937468	38.70668865473121
26	1820.7031154	888.016243483	0.0	1730.11181868	801.925237716	86.6401970765	-90.59129671822599	-86.09100576715704	86.6401970764895
27	1810.98747954	922.744209543	0.0	1827.98378825	973.071455731	-22.3690011283	16.99630870384337	50.327246187851614	-22.36900112828583
28	1800.86431008	957.53653881	0.0	1704.90126905	967.80965582	-67.1147759925	-95.96304102169819	10.273117010014403	-67.1147759925407
29	1790.3288671	992.395496111	0.0	1777.32682134	894.761840392	-38.310073656	-13.002045762599337	-97.63365571865748	-38.310073655980226
30	1779.37620209	1027.32332927	0.0	1878.20979683	1097.87668673	-11.3320192389	98.83359473776079	70.55335746201968	-11.33201923893688
31	1768.0011538	1062.32226771	0.0	1717.2271365	1093.31235888	56.3908214897	-50.77401729763824	30.990091164774043	56.390821489654314
32	1756.19834397	1097.39452102	0.0	1662.55587266	1002.16743863	-41.380966198	-93.64247130536276	-95.22708239007676	-41.38096619798357
33	1743.96217285	1132.5422773	0.0	1826.41688843	1212.11763503	-74.358300774	82.45471557481386	79.57535772660833	-74.35830077400163
34	1731.2868146	1167.76770155	0.0	1646.37352279	1247.95345899	98.1539081327	-84.9132918115115	80.18575744302845	98.15390813267376
35	1718.16621238	1203.0729338	0.0	1683.53350107	1301.70435735	64.2086854492	-34.63271130856633	98.63142354383388	64.20868544924883
36	1704.59407332	1238.46008726	0.0	1692.46453184	1275.96318528	-71.5137005651	-12.129541486708234	37.50309802528622	-71.5137005651173
37	1690.56386333	1273.93124617	0.0	1646.74929322	1298.94565043	-69.2418287972	-43.814570111819705	25.014404259638894	-69.24182879719723
38	1676.06880157	1309.4884637	0.0	1775.46012601	1272.23390144	-4.01578139916	99.39132444295288	-37.254562257430464	-4.015781399161341
39	1661.10185483	1345.13375955	0.0	1678.538579	1418.15497223	41.7531153566	17.436724169404442	73.02121267885278	41.753115356560556
40	1645.65573166	1380.86911748	0.0	1695.70179071	1292.08834468	-27.6291779552	50.046059055147225	-88.78077279896969	-27.629177955201925
41	1629.72287627	1416.69648266	0.0	1673.36366109	1410.75687132	62.5036932194	43.64078481886631	-5.93961133842771	62.503693219443306
42	1613.2954622	1452.61775881	0.0	1632.76627774	1526.09728331	43.6959521358	19.47081554488068	73.47952449874586	43.6959521358489
43	1596.36538579	1488.63480524	0.0	1556.92406321	1543.66227372	49.2348211883	-39.44132258815729	55.02746848103007	49.23482118830046
44	1578.92425941	1524.74943359	0.0	1668.42403845	1455.23978879	-91.6377986924	89.49977903340053	-69.50964479913257	-91.63779869239544
45	1560.96340442	1560.96340442	0.0	1614.71062911	1539.27217061	-26.1388858597	53.74722468981591	-21.69123381187947	-26.138885859719352
46	1542.47384394	1597.27842363	0.0	1479.55464348	1528.54945156	-53.7135187389	-62.91920046066826	-68.72897206558653	-53.71351873891752
47	1523.44629532	1633.69613851	0.0	1516.11248645	1730.9938227	-46.8910950192	-7.333808872192662	97.29768419545397	-46.89109501916906
48	1503.87116244	1670.2181337	0.0	1600.87810427	1722.48311918	6.75903419543	97.00694182752062	52.26498548150599	6.7590341954346655
49	1483.73852765	1706.84592679	0.0	1522.68680153	1769.06547435	65.9226422803	38.948273874722986	62.2195475635142	65.92264228029933
50	1463.03814354	1743.58096367	0.0	1491.8741018	1685.09752852	-96.066784006	28.835958254446467	-58.483435153124994	-96.0667840059733
51	1441.75942441	1780.42461361	0.0	1401.9237584	1753.19401232	-15.9685971871	-39.835666005594184	-27.23060128691941	-15.968597187139721
52	1419.89143745	1817.37816399	0.0	1418.4097494	1911.55859731	-11.8630705626	-1.4816880502971799	94.1804333216005	-11.863070562553247
53	1397.42289375	1854.44281476	0.0	1487.85984755	1942.8793125	-65.2418397583	90.43695380254533	88.43649773397263	-65.24183975830937
54	1374.34213888	1891.6196725	0.0	1467.16473656	1941.8943068	-36.5065611908	92.82259767850658	50.274634302610224	-36.50656119083593
55	1350.63714336	1928.90974413	0.0	1287.03836979	1831.8573575	89.8821282722	-63.5987735692638	-97.05238662966127	89.88212827224865
56	1326.29549275	1966.31393026	0.0	1394.34738593	2045.00246014	-2.66534313212	68.05189318378183	78.68852987480878	-2.6653431321206114
57	1301.30437746	2003.83301812	0.0	1222.3522649	2009.31973255	48.8960128195	-78.95211256516066	5.48671443832518	48.89601281945016
58	1275.65058239	2041.46767399	0.0	1230.92788682	2066.74394811	-59.7667913475	-44.722695571500616	25.276274127023484	-59.76679134754146
59	1249.32047612	2079.21843529	0.0	1343.26313678	2032.15631524	-46.8272089438	93.94266066082656	-47.06212005273209	-46.82720894381649
60	1222.3	2117.08570209	0.0	1251.7333277	2026.36806653	47.6557128471	29.43332770172566	-90.71763555851726	47.655712847065416
61	1194.57465682	2155.06972814	0.0	1186.21620004	2060.45442133	74.5942498853	-8.35845678138331	-94.61530681068808	74.59424988527493
62	1166.12949931	2193.17061137	0.0	1142.66671286	2246.9113253	-42.9670194777	-23.4627864485295	53.74071393229909	-42.967019477686954
63	1136.94911828	2231.38828375	0.0	1169.78025677	2313.17134261	14.0024896797	32.83113849065052	81.78305885342272	14.002489679732292
64	1107.01763058	2269.72250068	0.0	1121.89219957	2303.56357668	-95.9001876857	14.874568992462471	33.841076000882936	-95.90018768569281
65	1076.31866676	2308.17282954	0.0	1058.64659705	2305.03457188	22.6881534363	-17.672069715447776	-3.1382576623743716	22.68815343627621
66	1044.83535846	2346.73863777	0.0	1138.64282428	2262.38437832	-92.7436855654	93.80746581852145	-84.3542594561107	-92.74368556535086
67	1012.55032559	2385.41908006	0.0	978.787147762	2466.59647972	40.3836323458	-33.76317782996033	81.17739965742922	40.38363234575331
68	979.445663301	2424.21308487	0.0	1058.13551276	2430.12402106	79.4032072589	78.6898494633709	5.910936183700869	79.40320725887975
69	945.502928681	2463.11934014	0.0	947.252923501	2515.28740429	59.1230580527	1.749994820604968	52.16806414320874	59.12305805265356
70	910.703127313	2502.13627812	0.0	852.073888542	2485.80201498	52.0963251642	-58.629238771455675	-16.334263135869648	52.09632516424654
71	875.026699631	2541.26205933	0.0	946.782723389	2523.09511458	62.7448552996	71.75602375733149	-18.1669447462329	62.74485529957326
72	838.453507121	2580.49455555	0.0	843.194514779	2493.55578892	-21.7339363139	4.741007658709535	-86.93876662932436	-21.73393631391349
73	800.962818399	2619.83133187	0.0	790.738413911	2547.73064008	70.4210886304	-10.224404487786856	-72.10069178466128	70.42108863036617
74	762.533295194	2659.26962757	0.0	836.393033303	2728.16705331	18.5019742854	73.85973810923014	68.89742574429118	18.501974285368334
75	723.142978263	2698.80633601	0.0	633.243857574	2642.33876318	-15.1159294122	-89.89912068881422	-56.467572830583165	-15.115929412194077
76	682.769273282	2738.43798328	0.0	734.577676023	2669.10658184	10.1534678617	51.808402740861595	-69.33140144025376	10.15346786174905
77	641.388936758	2778.1607056	0.0	637.302899934	2803.58708046	35.101895164	-4.086036824400921	25.426374856715924	35.101895164021784
78	598.978062009	2817.97022545	0.0	547.003345313	2875.92629309	45.3232048451	-51.974716695865666	57.95606764794894	45.3232048450688
79	555.512065266	2857.86182629	0.0	583.285303936	2911.67595456	0.154013701931	27.77323866905577	53.814128269296276	0.15401370193129083
80	510.965671967	2897.83032588	0.0	447.80565242	2926.22782729	-60.0827009082	-63.16001954652559	28.397501412557602	-60.0827009081631
81	465.312903298	2937.87004799	0.0	545.312397854	2899.88291039	11.0714200879	79.99949455663153	-37.987137602624045	11.071420087862379
82	418.527063077	2977.97479261	0.0	429.062783037	2971.1837126	-10.9834314135	10.535719960543673	-6.791080015755611	-10.983431413516513
83	370.580725051	3018.13780434	0.0	301.236242423	2999.02761556	73.0801504812	-69.34448262786987	-19.110188787795536	73.08015048121703
84	321.445720713	3058.35173912	0.0	262.007694212	3062.98636119	-49.1927516684	-59.43802650143033	4.6346220734589565	-49.19275166836194
85	271.093127742	3098.60862901	0.0	348.328265461	3056.35134523	-6.27398256762	77.23513771882818	-42.25728377779758	-6.27398256761542
86	219.493259176	3138.89984507	0.0	245.570491816	3064.29638052	67.9470394148	26.077232640075266	-74.60346455226431	67.94703941482669
87	166.615653468	3179.21605814	0.0	107.616157485	3093.16954369	18.8181338153	-58.99949598305063	-86.04651445227651	18.818133815268652
88	112.429065551	3219.54719748	0.0	152.679366016	3256.39735664	72.6331127623	40.25030046560903	36.85015916398987	72.63311276227728
89	56.9014590749	3259.88240714	0.0	135.604657553	3173.02755304	14.3414725914	78.70319847794678	-86.85485409253428	14.34147259135949
90	2.02079580651e-13	3300.21	0.0	-19.7695646031	3232.11487029	46.3832751579	-19.769564603061156	-68.09512971308067	46.38327515785238
91	-58.3089482733	3340.51740931	0.0	-22.7096204905	3310.97454442	90.5355074174	35.599327782798014	-29.542864893312498	90.53550741743001
92	-118.059828018	3380.79113765	0.0	-43.8847470281	3414.02482483	7.06125802451	74.17508098948423	33.23368718471232	7.061258024505108
93	-179.287888307	3421.01670323	0.0	-167.822146224	3420.59478038	-78.6944060842	11.465742082363619	-0.4219228562980959	-78.69440608420375
94	-242.029183904	3461.17858339	0.0	-219.824946715	3395.41800095	80.7334489025	22.20423718898492	-65.76058243818159	80.73344890249993
95	-306.320571631	3501.26015515	0.0	-305.502373129	3517.47428919	35.1422122532	0.8181985014944928	16.214134040564105	35.142212253167116
96	-372.199703916	3541.24363281	0.0	-288.924814262	3480.72537875	61.1119983239	83.27488965385294	-60.518254055913914	61.11199832391719
97	-439.705019185	3581.11000236	0.0	-393.96137008	3538.19335394	48.5231033976	45.74364910474827	-42.916648420717294	48.52310339763562
98	-508.87572874	3620.83895273	0.0	-483.490989398	3677.06670186	27.5619390063	25.384739341900314	56.22774912829132	27.56193900626711
99	-579.751799722	3660.40880363	0.0	-516.096475286	3733.14712782	-7.73296563696	63.65532443688224	72.73832418483377	-7.732965636955782
100	-652.373933745	3699.79643004	0.0	-614.743864441	3607.78135827	-25.8257517127	37.630069303314684	-92.01507177256278	-25.82575171270716
101	-726.783540713	3738.97718312	0.0	-727.54719096	3765.90439078	95.9170734121	-0.7636502462227099	26.927207658092513	95.91707341206714
102	-803.022707349	3777.92480759	0.0	-738.440555695	3858.83910811	30.3136158287	64.58215165391937	80.91430051832961	30.313615828657476
103	-881.13415985	3816.6113554	0.0	-973.59329644	3776.70832901	-22.2250818277	-92.45913659066429	-39.90302638612035	-22.22508182771348
104	-961.161220121	3855.00709572	0.0	-951.620662033	3840.1047013	-9.31979275276	9.540558087549613	-14.902394412686235	-9.319792752756612
105	-1043.14775492	3893.08042115	0.0	-1007.65811365	3980.29594514	58.7955031442	35.489641271311285	87.21552398763478	58.795503144173324
106	-1127.13811723	3930.79775024	0.0	-1207.12373285	3852.76141316	26.4315362775	-79.98561561843216	-78.03633708015249	26.43153627754205
107	-1213.17707918	3968.12342613	0.0	-1114.15729289	3940.85785025	98.4110039183	99.01978629465455	-27.26557588305927	98.41100391828655
108	-1301.30975561	4005.01961159	0.0	-1252.24258872	4096.82208896	31.8529466212	49.06716688591092	91.80247737114314	31.852946621170787
109	-1391.58151753	4041.44618038	0.0	-1441.35876316	3970.16170716	-7.01120405951	-49.777245636859924	-71.28447321798295	-7.011204059508543
110	-1484.03789459	4077.360605	0.0	-1470.6285504	4102.50740531	-69.3807346576	13.40934418747932	25.14680030556822	-69.38073465759803
111	-1578.72446548	4112.7178412	0.0	-1542.74644894	4090.95079535	10.8656942876	35.978016541846785	-21.767045841891772	10.865694287625942
