i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
33	1743.96217285	1132.5422773	0.0	1677.37914681	1062.11456825	-92.4254500314	-66.58302604057442	-70.4277090532924	-92.42545003140296
34	1731.2868146	1167.76770155	0.0	1765.80242224	1157.99320836	-88.1438897412	34.515607635461606	-9.774493187944984	-88.14388974123217
35	1718.16621238	1203.0729338	0.0	1800.24775415	1293.41847796	73.6585909981	82.08154176968233	90.34554415711389	73.65859099809651
36	1704.59407332	1238.46008726	0.0	1665.19828302	1214.60479719	-14.254048677	-39.39579030703211	-23.855290071198638	-14.25404867700584
37	1690.56386333	1273.93124617	0.0	1715.56592042	1191.56447314	-99.0094551268	25.00205708874961	-82.36677303248776	-99.00945512679844
38	1676.06880157	1309.4884637	0.0	1722.57050585	1406.52672973	-77.1923423364	46.501704282656135	97.03826603128192	-77.19234233636897
39	1661.10185483	1345.13375955	0.0	1649.75101615	1373.27436583	-61.1407409163	-11.350838675134796	28.140606278017458	-61.14074091628001
40	1645.65573166	1380.86911748	0.0	1680.77480311	1365.92069874	64.9483272738	35.119071449076046	-14.948418737032767	64.94832727383596
41	1629.72287627	1416.69648266	0.0	1675.9181836	1398.1822895	-77.2313184722	46.19530733479084	-18.5141931572701	-77.23131847222291
42	1613.2954622	1452.61775881	0.0	1632.01173378	1494.01543271	58.7431137987	18.716271581336514	41.39767390303132	58.74311379868661
43	1596.36538579	1488.63480524	0.0	1664.20364903	1545.92066327	84.7698343855	67.83826323384886	57.28585802472159	84.76983438546003
44	1578.92425941	1524.74943359	0.0	1549.98475634	1530.06358698	-6.55001789715	-28.93950306968381	5.314153392398779	-6.550017897147313
45	1560.96340442	1560.96340442	0.0	1614.14874601	1644.771523	10.1091168782	53.185341591561354	83.80811857602055	10.109116878171534
46	1542.47384394	1597.27842363	0.0	1549.66433158	1684.8820823	-84.7708330714	7.190487637685749	87.60365867317935	-84.77083307142352
47	1523.44629532	1633.69613851	0.0	1583.61476044	1643.98012132	-63.2210697341	60.16846511851185	10.283982810957497	-63.22106973409891
48	1503.87116244	1670.2181337	0.0	1563.62680443	1622.47378977	7.82467452828	59.75564198436467	-47.744343929403584	7.824674528277953
49	1483.73852765	1706.84592679	0.0	1500.85711958	1777.69102427	-87.6564195743	17.118591925572375	70.84509747878084	-87.65641957430324
50	1463.03814354	1743.58096367	0.0	1426.69089952	1703.07305088	-96.7177314586	-36.34724402448275	-40.507912788863784	-96.71773145858471
51	1441.75942441	1780.42461361	0.0	1435.42850347	1788.8164935	-33.0880206514	-6.330920939558965	8.391879889230538	-33.088020651408414
52	1419.89143745	1817.37816399	0.0	1499.77928442	1906.15259943	-24.0311566467	79.88784696398253	88.77443543482431	-24.031156646747306
53	1397.42289375	1854.44281476	0.0	1495.86033753	1932.9231224	92.7990887416	98.4374437811554	78.4803076382617	92.79908874162226
54	1374.34213888	1891.6196725	0.0	1448.27923114	1815.20607479	38.5440668957	73.93709225483303	-76.41359770649758	38.54406689568518
55	1350.63714336	1928.90974413	0.0	1284.12556248	1967.61144454	-44.1223547482	-66.5115808808577	38.70170041035138	-44.122354748159445
56	1326.29549275	1966.31393026	0.0	1258.75383279	2064.28812515	-71.9872874933	-67.54165996279417	97.97419488755875	-71.98728749328185
57	1301.30437746	2003.83301812	0.0	1228.41771069	1970.02560442	-19.7659116824	-72.88666677488101	-33.80741369744639	-19.765911682351984
58	1275.65058239	2041.46767399	0.0	1184.72458715	2019.69645864	12.5827113918	-90.92599523581755	-21.77121534444136	12.58271139182041
59	1249.32047612	2079.21843529	0.0	1177.25536419	2116.47586115	-76.3702367997	-72.06511192882692	37.25742586517595	-76.3702367997021
60	1222.3	2117.08570209	0.0	1251.13688403	2042.67136667	-86.4343678705	28.836884026903817	-74.41433542168747	-86.43436787054037
61	1194.57465682	2155.06972814	0.0	1229.31008072	2228.17770044	66.6802216588	34.73542389679406	73.1079722974219	66.680221658775
62	1166.12949931	2193.17061137	0.0	1210.76551933	2151.6188278	-72.4428655066	44.63602001948536	-41.55178356690315	-72.44286550663972
63	1136.94911828	2231.38828375	0.0	1181.02506699	2241.59001158	88.259571346	44.07594871233985	10.20172782201449	88.25957134597573
64	1107.01763058	2269.72250068	0.0	1204.99564486	2217.14801033	-27.1207434973	97.97801427673255	-52.5744903502994	-27.120743497334573
65	1076.31866676	2308.17282954	0.0	1036.75321846	2305.26507924	-38.7784385823	-39.56544829854567	-2.9077503012156427	-38.77843858225931
66	1044.83535846	2346.73863777	0.0	1043.14895782	2393.46713308	-67.245058123	-1.6864006363073116	46.728495308207044	-67.24505812300904
67	1012.55032559	2385.41908006	0.0	1021.63080374	2432.84704598	-87.111202523	9.08047814597414	47.42796592226961	-87.11120252299891
68	979.445663301	2424.21308487	0.0	968.136820823	2501.92253159	-79.1767473494	-11.308842477967502	77.70944671238183	-79.17674734941792
69	945.502928681	2463.11934014	0.0	882.979982125	2447.51538327	-30.2404848787	-62.52294655606192	-15.603956876849281	-30.240484878702006
