,x,y,z,x+dif,y+dif,z+dif,xdif,ydif,zdif
15,1901.83559093,509.595310727,0,1870.56711896,544.947316092,14.8955738934,-31.2684719730363,35.3520053652261,14.8955738933697
16,1896.3460724,543.768486063,0,1910.65855447,489.166954386,-96.299951965,14.3124820656178,-54.601531677414,-96.2999519650375
17,1890.48839106,577.980304087,0,1928.73267196,596.39102254,-72.4183943917,38.2442809063732,18.4107184530805,-72.4183943916722
18,1884.25987973,612.233147747,0,1901.98279453,688.731738919,52.6175414689,17.7229147933565,76.4985911726193,52.617541468919
19,1877.65769675,646.529393297,0,1966.11371528,590.6356633,1.93418253229,88.4560185263214,-55.8937299979551,1.93418253228788
20,1870.67882358,680.871409655,0,1960.05754054,679.476432433,-68.3082196564,89.3787169656089,-1.3949772223975,-68.3082196564299
21,1863.32006236,715.261557702,0,1932.37808437,706.021993754,16.2068487639,69.0580220040473,-9.23956394744194,16.2068487638703
22,1855.57803331,749.702189543,0,1798.64253322,829.393294949,25.3771919966,-56.9355000905835,79.6911054064308,25.3771919965947
23,1847.44917193,784.19564771,0,1918.97449675,702.830572389,-8.51626453666,71.5253248244203,-81.3650753208954,-8.51626453665628
24,1838.92972605,818.744264306,0,1792.44032517,734.628351277,38.765929095,-46.4894008816283,-84.1159130293451,38.7659290949823
25,1830.01575283,853.350360087,0,1754.15579502,832.496042614,65.0105306765,-75.8599578085329,-20.8543174729787,65.0105306764671
26,1820.7031154,888.016243483,0,1785.61118112,896.531176884,93.6602279467,-35.0919342809398,8.51493340067016,93.6602279467481
27,1810.98747954,922.744209543,0,1779.64032103,905.54410207,-88.4605757075,-31.3471585102883,-17.2001074728989,-88.460575707465
28,1800.86431008,957.53653881,0,1779.4106645,940.639614105,-42.0251338984,-21.4536455772175,-16.89692470444,-42.0251338984452
29,1790.3288671,992.395496111,0,1863.26710093,1057.61432374,43.6441254843,72.9382338344291,65.2188276266014,43.644125484324
30,1779.37620209,1027.32332927,0,1871.92683029,1071.80044477,38.0292295528,92.5506281990922,44.4771155062098,38.0292295528084
31,1768.0011538,1062.32226771,0,1759.49592022,1146.47964818,-83.0953589165,-8.50523357987538,84.1573804659369,-83.0953589165275
32,1756.19834397,1097.39452102,0,1675.97439388,1136.97926693,67.2421097519,-80.2239500828538,39.5847459146918,67.2421097518824
33,1743.96217285,1132.5422773,0,1815.47019139,1067.35348738,-81.1653935481,71.508018541677,-65.1887899164231,-81.1653935481254
34,1731.2868146,1167.76770155,0,1675.79626538,1255.3336871,-71.745221457,-55.4905492161969,87.565985550307,-71.7452214570135
35,1718.16621238,1203.0729338,0,1803.80282209,1152.09403452,-72.5654482114,85.6366097123432,-50.9788992777831,-72.5654482113949
36,1704.59407332,1238.46008726,0,1713.88802465,1239.76212301,-69.6731050443,9.29395132371221,1.30203574908091,-69.6731050442647
37,1690.56386333,1273.93124617,0,1731.57767498,1299.22257837,-26.2437332677,41.0138116531916,25.2913321947819,-26.2437332676934
38,1676.06880157,1309.4884637,0,1587.94569139,1380.79828683,70.4266690755,-88.1231101796441,71.3098231331508,70.4266690754601
